Consumer,Res.1,Res.2,Res.3,Res.4,Res.5,Res.6,Res.7,Res.8,Res.9,Res.10
A,3,0,1,3,0,0,0,3,0,2
A,1,0,0,1,1,0,1,0,0,0
A,0,0,0,0,0,1,0,0,2,0
A,2,2,2,2,0,0,0,0,2,0
A,2,1,2,3,0,2,0,0,0,0
A,1,0,0,2,0,0,1,0,0,0
A,0,0,0,0,0,0,0,2,0,0
A,0,1,0,2,1,0,2,0,0,0
A,0,0,2,0,1,0,0,2,1,0
A,1,1,2,0,1,1,0,0,0,2
B,0,0,0,2,0,2,2,0,0,0
B,0,0,0,1,0,0,0,1,0,2
B,2,1,0,3,1,0,3,0,1,1
B,0,0,0,1,2,0,0,2,2,3
B,0,0,0,2,0,2,3,0,0,0
B,0,0,0,2,1,0,0,2,3,2
B,0,0,0,0,1,2,3,2,1,0
B,1,2,0,0,0,0,1,2,0,1
B,0,3,0,0,0,0,0,2,0,0
B,0,0,1,0,0,0,0,0,0,1
