Consumer,Res.1,Res.2,Res.3,Res.4,Res.5,Res.6,Res.7,Res.8,Res.9,Res.10
A,3.15651152,0,0.777450409,3.025784188,0,0,0,2.664103227,0,1.953783456
A,0.944861705,0,0,1.237492029,0.562345336,0,1.013337528,0,0,0
A,0,0,0,0,0,0.673799505,0,0,2.484264097,0
A,1.679269322,1.547445938,2.453736108,1.917098306,0,0,0,0,1.812017865,0
A,1.588082319,0.535891978,1.902617967,3.352394751,0,1.825565522,0,0,0,0
A,1.206072464,0,0,2.170884165,0,0,0.695208259,0,0,0
A,0,0,0,0,0,0,0,2.317297373,0,0
A,0,1.141122545,0,1.710691932,0.902906816,0,2.450698886,0,0,0
A,0,0,2.363291719,0,0.832427215,0,0,1.755697518,0.793033963,0
A,0.835270062,0.847622093,2.352916107,0,1.018502566,0.730168019,0,0,0,1.784179742
B,0,0,0,2.44921626,0,2.308802952,1.818888299,0,0,0
B,0,0,0,1.050019769,0,0,0,1.183784869,0,1.729630353
B,2.283160376,0.822061488,0,3.237263365,1.0696931,0,2.995466272,0,0.631127949,0.792172019
B,0,0,0,1.406909529,2.469514642,0,0,2.34496625,1.946321075,2.776905133
B,0,0,0,2.23754678,0,2.358472559,3.320960579,0,0,0
B,0,0,0,2.277394438,0.934575205,0,0,2.057848091,2.516118315,1.766655196
B,0,0,0,0,1.38052964,1.827782063,2.532633699,2.495222472,1.468291096,0
B,0.993976112,2.43203137,0,0,0,0,1.435610629,1.910710905,0,1.23045037
B,0,2.818123867,0,0,0,0,0,1.905421472,0,0
B,0,0,0.739480039,0,0,0,0,0,0,1.185154727
