Site,Consumer,Res.1,Res.2,Res.3,Res.4,Res.5,Res.6,Res.7,Res.8,Res.9,Res.10
S1,A,1,1,1,1,0,0,0,1,0,1
S1,A,1,0,0,1,1,1,1,0,1,1
S1,A,0,1,0,0,1,1,0,0,1,0
S1,A,1,1,1,1,0,0,0,1,1,0
S1,A,1,1,1,1,0,1,0,1,0,0
S2,A,1,0,0,1,0,1,1,1,0,0
S2,A,1,0,1,1,0,0,1,1,0,1
S2,A,0,1,0,1,1,0,1,0,0,0
S2,A,0,0,1,0,1,1,0,1,1,0
S2,A,1,1,1,0,1,1,0,0,0,1
S1,B,0,0,0,1,0,1,1,0,0,1
S1,B,0,0,1,1,0,0,0,1,1,1
S1,B,1,1,0,1,1,0,1,0,1,1
S1,B,0,0,0,1,1,0,0,1,1,1
S1,B,0,0,0,1,0,1,1,0,0,0
S2,B,0,0,0,1,1,0,0,1,1,1
S2,B,0,1,0,1,1,1,1,1,1,0
S2,B,1,1,0,0,0,0,1,1,0,1
S2,B,1,1,0,0,0,0,0,1,0,0
S2,B,0,0,1,0,0,0,0,0,0,1
