Consumer,Res.1,Res.2,Res.3,Res.4,Res.5,Res.6,Res.7,Res.8,Res.9,Res.10
A,0,0,1,0,0,0,0,0,0,0
A,0,0,0,0,0,1,0,0,0,0
A,0,0,1,0,0,0,0,0,0,0
A,1,0,0,0,0,0,0,0,0,0
A,0,0,0,0,0,0,0,0,0,0
A,0,0,0,1,0,0,0,0,0,0
A,0,0,0,0,0,0,0,1,0,0
A,0,0,0,0,0,0,0,0,0,0
A,0,0,1,0,0,0,0,0,0,0
A,0,0,0,0,0,0,0,0,0,1
A,0,0,1,0,0,0,0,0,0,0
A,1,0,0,0,0,0,0,0,0,0
A,1,0,0,0,0,0,0,0,0,0
A,0,0,0,1,0,0,0,0,0,0
A,0,0,0,0,0,1,0,0,0,0
A,0,1,0,0,0,0,0,0,0,0
A,0,0,0,0,0,1,0,0,0,0
A,0,0,0,0,0,0,0,0,0,0
A,0,1,0,0,0,0,0,0,0,0
A,0,0,1,0,0,0,0,0,0,0
A,0,1,0,0,0,0,0,0,0,0
A,0,0,1,0,0,0,0,0,0,0
A,0,1,0,0,0,0,0,0,0,0
A,0,0,0,0,0,1,0,0,0,0
A,0,0,1,0,0,0,0,0,0,0
A,0,0,0,0,0,1,0,0,0,0
A,1,0,0,0,0,0,0,0,0,0
A,0,0,1,0,0,0,0,0,0,0
A,1,0,0,0,0,0,0,0,0,0
A,0,1,0,0,0,0,0,0,0,0
A,0,0,1,0,0,0,0,0,0,0
A,0,0,0,0,0,0,0,0,0,0
A,1,0,0,0,0,0,0,0,0,0
A,1,0,0,0,0,0,0,0,0,0
A,0,0,0,1,0,0,0,0,0,0
A,0,0,1,0,0,0,0,0,0,0
A,0,0,1,0,0,0,0,0,0,0
A,0,0,1,0,0,0,0,0,0,0
A,0,1,0,0,0,0,0,0,0,0
A,0,1,0,0,0,0,0,0,0,0
A,1,0,0,0,0,0,0,0,0,0
A,0,1,0,0,0,0,0,0,0,0
A,1,0,0,0,0,0,0,0,0,0
A,0,0,1,0,0,0,0,0,0,0
A,1,0,0,0,0,0,0,0,0,0
A,0,0,1,0,0,0,0,0,0,0
A,1,0,0,0,0,0,0,0,0,0
A,0,0,1,0,0,0,0,0,0,0
A,1,0,0,0,0,0,0,0,0,0
A,0,0,1,0,0,0,0,0,0,0
A,0,0,0,0,0,1,0,0,0,0
A,1,0,0,0,0,0,0,0,0,0
A,1,0,0,0,0,0,0,0,0,0
A,1,0,0,0,0,0,0,0,0,0
A,0,0,1,0,0,0,0,0,0,0
A,1,0,0,0,0,0,0,0,0,0
A,0,0,0,0,0,0,0,0,0,0
A,0,0,0,0,0,1,0,0,0,0
A,1,0,0,0,0,0,0,0,0,0
A,0,0,1,0,0,0,0,0,0,0
A,0,0,0,0,0,0,0,0,0,0
A,0,0,1,0,0,0,0,0,0,0
A,0,0,1,0,0,0,0,0,0,0
A,0,0,1,0,0,0,0,0,0,0
A,0,0,1,0,0,0,0,0,0,0
