Consumer,A,B,C,D,E
sp1,1,0,0,0,0
sp1,1,0,0,0,0
sp1,1,0,0,0,0
sp1,0,1,0,0,0
sp1,0,1,0,0,0
sp1,0,1,0,0,0
sp1,0,1,0,0,0
sp1,0,1,0,0,0
sp1,0,0,1,0,0
sp1,0,0,1,0,0
sp1,0,0,0,0,1
sp1,0,0,0,0,1
sp1,0,0,0,0,1
sp2,1,0,0,0,0
sp2,0,1,0,0,0
sp2,0,1,0,0,0
sp2,0,1,0,0,0
sp2,0,1,0,0,0
sp2,0,1,0,0,0
sp2,0,1,0,0,0
sp2,0,1,0,0,0
sp2,0,1,0,0,0
sp2,0,1,0,0,0
sp2,0,1,0,0,0
sp2,0,0,1,0,0
sp2,0,0,1,0,0
sp2,0,0,1,0,0
sp2,0,0,0,1,0
sp2,0,0,0,1,0
sp2,0,0,0,1,0
sp2,0,0,0,1,0
sp2,0,0,0,1,0
sp2,0,0,0,1,0
sp2,0,0,0,1,0
sp2,0,0,0,1,0
sp2,0,0,0,1,0
sp2,0,0,0,1,0
sp2,0,0,0,1,0
sp2,0,0,0,1,0
sp3,0,0,1,0,0
sp3,0,0,1,0,0
sp3,0,0,1,0,0
sp3,0,0,1,0,0
sp3,0,0,1,0,0
sp3,0,0,0,1,0
sp3,0,0,0,1,0
sp3,0,0,0,1,0
sp3,0,0,0,1,0
sp3,0,0,0,1,0
sp3,0,0,0,1,0
sp3,0,0,0,1,0
sp3,0,0,0,1,0
sp3,0,0,0,1,0
sp3,0,0,0,0,1
sp3,0,0,0,0,1
sp4,1,0,0,0,0
sp4,1,0,0,0,0
sp4,1,0,0,0,0
sp4,1,0,0,0,0
sp4,1,0,0,0,0
sp4,1,0,0,0,0
sp4,1,0,0,0,0
sp4,1,0,0,0,0
sp4,1,0,0,0,0
sp4,1,0,0,0,0
sp4,0,1,0,0,0
sp4,0,0,1,0,0
sp4,0,0,1,0,0
sp4,0,0,1,0,0
